"date","state","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2021-02-21","ND",1465,,0,,3857,3857,40,1,562,8,302885,198,11953,,,,,99277,94232,49,0,1442,,,,,97114,1393460,912,1393460,912,13395,131404,,,402162,247,1492888,1133
"2021-02-21","NE",2047,,0,,6034,6034,163,2,,,756992,688,,,2081186,,,198949,,198,0,,,,,230666,142336,,0,2314397,5164,,,,,956452,886,2314397,5164
"2021-02-21","NH",1154,,1,,1093,1093,109,1,339,,571296,807,,,,,,73413,51750,252,0,,,,,,69319,,0,1410731,7489,38983,183338,37421,,623046,985,1410731,7489
"2021-02-21","NJ",22858,20569,24,2289,63108,63108,2065,46,,434,9566182,0,,,,,288,766405,682746,2031,0,,,,,,73920,,0,10332587,2031,,,,,,0,10244488,0
"2021-02-21","NM",3624,,14,,12916,12916,242,15,,,2426972,9172,,,,,,182789,,314,0,,,,,,132219,,0,2609761,9486,,,,,,0,2609761,9486
"2021-02-21","NV",4872,,4,,,,639,0,,145,1101946,1807,,,,,103,290972,290972,301,0,,,,,,,2662867,6034,2662867,6034,,,,,1392918,2108,,0
"2021-02-21","NY",37851,,75,,89995,89995,5764,0,,1162,,0,,,,,794,1578785,,6610,0,,,,,,142307,36461592,221157,36461592,221157,,,,,,0,,0
"2021-02-21","OH",16816,14301,67,2515,49372,49372,1434,55,7028,382,,0,,,,,231,953767,820039,1461,0,,81263,,,848717,887612,,0,9781894,31139,,1589581,,,,0,9781894,31139
"2021-02-21","OK",4181,,26,,23667,23667,620,61,,188,2996195,0,,,2996195,,,419354,,1036,0,20802,,,,379753,399817,,0,3415549,1036,145659,,,,,0,3388179,0
"2021-02-21","OR",2154,,5,,8403,8403,206,0,,56,,0,,,3266406,,24,152711,,521,0,,,,,199381,,,0,3465787,0,,,,,,0,3465787,0
"2021-02-21","PA",23597,,27,,,,1959,0,,421,3822646,6868,,,,,253,913497,787614,1906,0,,,,,,811315,10070782,0,10070782,0,,,,,4610260,8351,,0
"2021-02-21","PR",1979,1686,22,293,,,217,0,,44,305972,0,,,395291,,37,99084,91527,249,0,77685,,,,20103,89496,,0,405056,249,,,,,,0,415664,0
"2021-02-21","RI",2376,,0,,8870,8870,177,0,,29,655694,0,,,2706898,,18,123145,,0,0,,,,,146886,7705,2853784,0,2853784,0,,,,,778839,0,,0
"2021-02-21","SC",8324,7409,68,915,19966,19966,1013,67,,240,4343561,34511,103880,,4217946,,144,504149,436161,2872,0,26152,104005,,,561776,229445,,0,4847710,37383,130032,813049,,,,0,4779722,36083
"2021-02-21","SD",1863,,4,,6524,6524,90,15,,17,306471,301,,,,,9,111304,98986,139,0,,,,,,107475,,0,417775,440,,,,,417775,440,949715,954
"2021-02-21","TN",11133,8956,18,2177,18284,18284,1128,17,,300,6031818,8387,,,5933237,,171,765137,642673,1129,0,,133897,,,741254,737635,,0,6796955,9516,,1299544,,,,0,6674491,9062
"2021-02-21","TX",41343,,130,,,,7146,0,,2268,,0,,,,,,2588101,2245634,4484,0,143699,192327,,,2558042,2318193,,0,19165851,38019,995393,2303319,,,,0,19165851,38019
"2021-02-21","UT",1852,,10,,14445,14445,263,24,2269,100,1511410,3535,,,2456796,796,,366735,,701,0,,57347,,54964,339548,344387,,0,2796344,7462,,904200,,341072,1822541,4035,2796344,7462
"2021-02-21","VA",7331,6320,134,1011,23481,23481,1548,45,,306,,0,,,,,186,564115,445808,2303,0,26839,118050,,,544620,45746,5749734,21526,5749734,21526,218635,1302156,,,,0,,0
"2021-02-21","VI",25,25,0,,,,,0,,,43564,0,,,,,,2575,,0,0,,,,,,2464,,0,46139,0,,,,,46247,0,,0
"2021-02-21","VT",197,,1,,,,39,0,,10,310790,1455,,,,,,14493,14074,134,0,,,,,,11649,,0,1021885,12600,,,,,324864,1581,1021885,12600
"2021-02-21","WA",4822,,0,,19033,19033,608,64,,123,,0,,,4757606,,54,333794,316186,890,0,,,,,316119,,5074078,26024,5074078,26024,,,,,,0,,0
"2021-02-21","WI",6871,6284,0,587,25743,25743,353,27,2242,83,2592363,3862,,,,,,612240,559575,451,0,,,,,,544250,6677613,24235,6677613,24235,,,,,3151938,4265,,0
"2021-02-21","WV",2261,1923,7,338,,,289,0,,75,2011616,6822,,,,,39,129616,103716,252,0,,,,,,118401,,0,2141232,7074,31754,,,,,0,2115332,7013
"2021-02-21","WY",662,,0,,1369,1369,31,2,,,178648,0,,,574121,,,53795,45653,112,0,,,,,38351,52431,,0,620388,0,,,,,224231,0,620388,0
"2021-02-20","AK",289,,0,,1243,1243,34,0,,,,0,,,1561281,,4,55198,,0,0,,,,,66577,,,0,1629829,0,,,,,,0,1629829,0
"2021-02-20","AL",9590,7525,17,2065,44767,44767,895,0,2623,,1872725,4864,,,,1490,,485986,381166,774,0,,,,,,275245,,0,2253891,5436,,,114532,,2253891,5436,,0
"2021-02-20","AR",5348,4298,12,1050,14526,14526,605,26,,223,2350951,2744,,,2350951,1500,103,315230,249492,517,0,,,,77180,,303777,,0,2600443,3060,,,,426611,,0,2600443,3060
"2021-02-20","AS",0,,0,,,,,0,,,2140,0,,,,,,0,,0,0,,,,,,,,0,2140,0,,,,,,0,2140,0
"2021-02-20","AZ",15480,13674,59,1806,56872,56872,1650,140,,517,2931160,12255,,,,,294,806163,751951,2047,0,,,,,,114119,,0,7396328,45153,432949,,,,3683111,14137,7396328,45153
"2021-02-20","CA",48825,,481,,,,7747,0,,2168,,0,,,,,,3435186,3435186,6668,0,,,,,,,,0,46813876,192222,,,,,,0,46813876,192222
"2021-02-20","CO",5887,5159,9,728,23156,23156,437,55,,,2130803,4193,332508,,,,,419812,397269,1117,0,54082,,,,,22270,5987245,26473,5987245,26473,389014,,,,2528072,5171,,0
"2021-02-20","CT",7523,6166,0,1357,12257,12257,535,0,,,6167204,0,,,,,,273101,256139,0,0,,18150,,,,9800,,0,6440305,0,,324744,,,,0,6423343,0
"2021-02-20","DC",994,,1,,,,206,0,,53,,0,,,,,30,39553,,92,0,,,,,,28298,1191009,4022,1191009,4022,,,,,428692,625,,0
"2021-02-20","DE",1366,1235,23,131,,,178,0,,21,530918,1111,,,,,,84531,80117,350,0,,,,,88110,,1348654,6735,1348654,6735,,,,,615449,1461,,0
"2021-02-20","FL",30339,,125,,78840,78840,4213,250,,,8989547,32585,831212,790547,16028333,,,1829773,1492000,7129,0,165482,,155757,,2394125,,21059797,115318,21059797,115318,997190,,946648,,10819320,39714,18510086,83211
"2021-02-20","GA",16742,14629,132,2113,54647,54647,2840,213,8924,,,0,,,,,,983747,803349,3336,0,71431,,,,781166,,,0,7019510,31286,468310,,,,,0,7019510,31286
"2021-02-20","GU",130,,0,,,,5,0,,2,106994,0,,,,,2,7716,7507,1,0,23,248,,,,7528,,0,114710,1,349,9003,,,,0,114500,0
"2021-02-20","HI",430,430,0,,2182,2182,42,0,,11,,0,,,,,7,27837,27107,59,0,,,,,26648,,1054099,303,1054099,303,,,,,,0,,0
"2021-02-20","IA",5336,,0,,,,238,0,,56,1021641,948,,92659,2337743,,24,276966,276966,345,0,,58671,17455,55262,300322,308712,,0,1298607,1293,,1295002,110164,235832,1300986,1298,2652280,5298
"2021-02-20","ID",1826,1607,0,219,6973,6973,142,9,1219,37,492368,1105,,,,,,168953,137279,314,0,,,,,,91637,,0,629647,1380,,123809,,,629647,1380,1056739,4669
"2021-02-20","IL",22426,20234,58,2192,,,1551,0,,351,16374707,71290,,,,,171,1172824,,1922,0,,,,,,,,0,17547531,73212,,,,,,0,17547531,73212
"2021-02-20","IN",12336,11912,11,424,42378,42378,923,45,7391,172,2421585,4964,,,,,78,654660,,1415,0,,,,,745419,427682,,0,7721658,38624,,,,,3076245,6379,7721658,38624
