Trends in Number of COVID-19 Vaccinations in the US,,,,,,,,,,,,,
Admin,2021-02-10,US,2077941,1142552,925948,50892005,37358427,12945352,930790,1587085,646559,null,null
Admin,2021-02-11,US,2161969,1178476,973033,53053974,38536903,13918385,913141,1592891,670504,null,null
Admin,2021-02-12,US,2319813,1270521,1036204,55373787,39807424,14954589,912001,1616677,695460,null,null
Admin,2021-02-13,US,1335220,800448,526308,56709007,40607872,15480897,912824,1638442,716209,null,null
Admin,2021-02-14,US,528856,318975,208339,57237863,40926847,15689236,921706,1656570,725961,null,null
Admin,2021-02-15,US,1044988,565858,470636,58282851,41492705,16159872,891385,1604826,704683,null,null
Admin,2021-02-16,US,1414389,721594,684966,59697240,42214299,16844838,856918,1554739,689348,null,null
Admin,2021-02-17,US,1772285,862606,901933,61469525,43076905,17746771,816925,1511074,685917,null,null
Admin,2021-02-18,US,1648959,763055,877894,63118484,43839960,18624665,757580,1437787,672326,null,null
Admin,2021-02-19,US,1728548,749372,971881,64847032,44589332,19596546,683130,1353321,663137,null,null
Admin,2021-02-20,US,1161150,546359,610945,66008182,45135691,20207491,646831,1328454,675228,null,null
Admin,2021-02-21,US,501749,221872,278364,66509931,45357563,20485855,632959,1324581,685231,null,null
Admin,2021-02-22,US,1275628,565372,705529,67785559,45922935,21191384,632890,1357530,718787,null,null
Admin,2021-02-23,US,1607623,746806,855361,69393182,46669741,22046745,636492,1385135,743130,null,null
Admin,2021-02-24,US,2041514,1048368,986501,71434696,47718109,23033246,663029,1423596,755211,null,null
Admin,2021-02-25,US,2266060,1225995,1028848,73700756,48944104,24062094,729163,1511753,776776,null,null
Admin,2021-02-26,US,2152277,1200139,947840,75853033,50144243,25009934,793559,1572286,773341,null,null
Admin,2021-02-27,US,1022426,570905,449816,76875459,50715148,25459750,797065,1552468,750323,null,null
Admin,2021-02-28,US,24528,17849,6655,76899987,50732997,25466405,767919,1484294,711507,null,null
Admin,2021-03-01,US,0,0,0,76899987,50732997,25466405,687152,1302061,610717,null,null
Admin,N/A,US,11117,9818,1181,11117,9818,1181,9818,11117,1181,null,null
