2021-02-25,HI,28088,38
2021-02-25,IA,278883,473
2021-02-25,ID,170289,423
2021-02-25,IL,1181226,1884
2021-02-25,IN,659127,1084
2021-02-25,KS,292837,0
2021-02-25,KY,401750,1443
2021-02-25,LA,427689,764
2021-02-25,MA,575993,2108
2021-02-25,MD,379466,976
2021-02-25,ME,44117,217
2021-02-25,MI,642868,1598
2021-02-25,MN,481831,986
2021-02-25,MO,477078,727
2021-02-25,MP,143,0
2021-02-25,MS,292811,920
2021-02-25,MT,99445,203
2021-02-25,NC,852981,3351
2021-02-25,ND,99621,90
2021-02-25,NE,200106,324
2021-02-25,NH,74568,310
2021-02-25,NJ,778963,3577
2021-02-25,NM,184080,299
2021-02-25,NV,292630,571
2021-02-25,NY,1606520,8746
2021-02-25,OH,962404,2409
2021-02-25,OK,422156,1146
2021-02-25,OR,154062,417
2021-02-25,PA,922990,2356
2021-02-25,PR,99619,100
2021-02-25,RI,125185,467
2021-02-25,SC,511546,2502
2021-02-25,SD,111964,156
2021-02-25,TN,770940,1994
2021-02-25,TX,2621181,7389
2021-02-25,UT,369433,832
2021-02-25,VA,570982,2036
2021-02-25,VI,2623,10
2021-02-25,VT,14840,72
2021-02-25,WA,336565,872
2021-02-25,WI,615225,965
2021-02-25,WV,130813,431
2021-02-25,WY,54202,214
2021-02-24,AK,55736,176
2021-02-24,AL,490220,1247
2021-02-24,AR,317396,803
2021-02-24,AS,0,0
2021-02-24,AZ,811968,1310
2021-02-24,CA,3455361,5303
2021-02-24,CO,423558,1168
2021-02-24,CT,278184,1493
2021-02-24,DC,39943,99
2021-02-24,DE,85506,278
2021-02-24,FL,1851151,6923
2021-02-24,GA,994061,3240
2021-02-24,GU,7729,2
2021-02-24,HI,28050,50
2021-02-24,IA,278410,589
2021-02-24,ID,169866,282
2021-02-24,IL,1179342,2022
2021-02-24,IN,658043,1006
2021-02-24,KS,292837,1122
2021-02-24,KY,400307,1294
2021-02-24,LA,426925,877
2021-02-24,MA,573885,2102
2021-02-24,MD,378490,862
2021-02-24,ME,43900,164
2021-02-24,MI,641270,1558
2021-02-24,MN,480845,754
2021-02-24,MO,476351,560
2021-02-24,MP,143,0
2021-02-24,MS,291891,669
2021-02-24,MT,99242,202
2021-02-24,NC,849630,3346
2021-02-24,ND,99531,115
2021-02-24,NE,199782,380
2021-02-24,NH,74258,335
2021-02-24,NJ,775386,3119
2021-02-24,NM,183781,446
2021-02-24,NV,292059,516
2021-02-24,NY,1597774,6189
2021-02-24,OH,959995,1842
2021-02-24,OK,421010,798
2021-02-24,OR,153645,511
2021-02-24,PA,920634,2786
2021-02-24,PR,99519,43
2021-02-24,RI,124718,456
2021-02-24,SC,509044,2132
2021-02-24,SD,111808,262
2021-02-24,TN,768946,1631
2021-02-24,TX,2613792,7517
2021-02-24,UT,368601,812
2021-02-24,VA,568946,1907
2021-02-24,VI,2613,24
2021-02-24,VT,14768,77
2021-02-24,WA,335693,731
2021-02-24,WI,614260,841
2021-02-24,WV,130382,243
2021-02-24,WY,53988,44
2021-02-23,AK,55560,53
2021-02-23,AL,488973,1453
2021-02-23,AR,316593,834
2021-02-23,AS,0,0
2021-02-23,AZ,810658,1184
2021-02-23,CA,3450058,3447
2021-02-23,CO,422390,1096
2021-02-23,CT,276691,1357
2021-02-23,DC,39844,89
2021-02-23,DE,85228,138
2021-02-23,FL,1844228,5483
2021-02-23,GA,990821,3780
2021-02-23,GU,7727,0
2021-02-23,HI,28000,47
2021-02-23,IA,277821,241
2021-02-23,ID,169584,434
2021-02-23,IL,1177320,1665
2021-02-23,IN,657037,679
2021-02-23,KS,291715,0
2021-02-23,KY,399013,1487
2021-02-23,LA,426048,1404
2021-02-23,MA,571783,1237
2021-02-23,MD,377628,662
2021-02-23,ME,43736,142
2021-02-23,MI,639712,1784
2021-02-23,MN,480091,500
2021-02-23,MO,475791,443
2021-02-23,MP,143,0
2021-02-23,MS,291222,348
2021-02-23,MT,99040,230
2021-02-23,NC,846284,1514
2021-02-23,ND,99416,104
2021-02-23,NE,199402,357
2021-02-23,NH,73923,258
2021-02-23,NJ,772267,3158
2021-02-23,NM,183335,312
2021-02-23,NV,291543,398
2021-02-23,NY,1591585,6654
2021-02-23,OH,958153,2775
2021-02-23,OK,420212,359
2021-02-23,OR,153134,316
2021-02-23,PA,917848,2830
2021-02-23,PR,99476,219
2021-02-23,RI,124262,282
2021-02-23,SC,506912,1323
2021-02-23,SD,111546,212
2021-02-23,TN,767315,1226
2021-02-23,TX,2606275,11809
2021-02-23,UT,367789,716
2021-02-23,VA,567039,1769
2021-02-23,VI,2589,10
2021-02-23,VT,14691,83
2021-02-23,WA,334962,1168
2021-02-23,WI,613419,707
2021-02-23,WV,130139,285
2021-02-23,WY,53944,44
2021-02-22,AK,55507,309
2021-02-22,AL,487520,677
2021-02-22,AR,315759,245
2021-02-22,AS,0,0
2021-02-22,AZ,809474,1507
2021-02-22,CA,3446611,4665
2021-02-22,CO,421294,680
2021-02-22,CT,275334,2233
2021-02-22,DC,39755,107
2021-02-22,DE,85090,358
2021-02-22,FL,1838745,4037
2021-02-22,GA,987041,1536
2021-02-22,GU,7727,7
2021-02-22,HI,27953,49
2021-02-22,IA,277580,312
2021-02-22,ID,169150,0
2021-02-22,IL,1175655,1246
2021-02-22,IN,656358,817
2021-02-22,KS,291715,883
2021-02-22,KY,397526,529
2021-02-22,LA,424644,468
2021-02-22,MA,570546,1262
2021-02-22,MD,376966,611
2021-02-22,ME,43594,97
2021-02-22,MI,637928,1659
2021-02-22,MN,479591,555
2021-02-22,MO,475348,351
2021-02-22,MP,143,0
2021-02-22,MS,290874,242
2021-02-22,MT,98810,31
2021-02-22,NC,844770,2133
2021-02-22,ND,99312,35
2021-02-22,NE,199045,96
2021-02-22,NH,73665,252
2021-02-22,NJ,769109,2704
2021-02-22,NM,183023,234
2021-02-22,NV,291145,173
2021-02-22,NY,1584931,6146
2021-02-22,OH,955378,1611
2021-02-22,OK,419853,499
2021-02-22,OR,152818,107
2021-02-22,PA,915018,1521
2021-02-22,PR,99257,173
2021-02-22,RI,123980,159
2021-02-22,SC,505589,1440
2021-02-22,SD,111334,30
2021-02-22,TN,766089,952
2021-02-22,TX,2594466,6365
2021-02-22,UT,367073,338
2021-02-22,VA,565270,1155
2021-02-22,VI,2579,4
2021-02-22,VT,14608,115
2021-02-22,WA,333794,0
2021-02-22,WI,612712,472
2021-02-22,WV,129854,238
2021-02-22,WY,53900,105
